Problem,Problem Link,
B. Unbalanced Squares,https://atcoder.jp/contests/arc142/tasks/arc142_b
A. Copy and Paste Graph,https://atcoder.jp/contests/arc159/tasks/arc159_a
D. Erase Leaves,https://atcoder.jp/contests/abc333/tasks/abc333_d
D. Good Tuple Problem,https://atcoder.jp/contests/abc327/tasks/abc327_d
D. Permutation Subsequence,https://atcoder.jp/contests/abc352/tasks/abc352_d
A. +3 +5 +7,https://atcoder.jp/contests/arc158/tasks/arc158_a
D. Flip Cards,https://atcoder.jp/contests/abc291/tasks/abc291_d
C. Invisible Hand,https://atcoder.jp/contests/abc312/tasks/abc312_c
D. Iroha and Haiku (New ABC Edition),https://atcoder.jp/contests/abc265/tasks/abc265_d
A. Periodic Number,https://atcoder.jp/contests/arc141/tasks/arc141_a
D. Intersecting Intervals,https://atcoder.jp/contests/abc355/tasks/abc355_d
A. Yet Another AB Problem,https://atcoder.jp/contests/arc170/tasks/arc170_a
C. Matrix Reducing,https://atcoder.jp/contests/abc264/tasks/abc264_c
D. Cheating Gomoku Narabe,https://atcoder.jp/contests/abc337/tasks/abc337_d
C. Counting Squares,https://atcoder.jp/contests/abc275/tasks/abc275_c
D. Find by Query,https://atcoder.jp/contests/abc299/tasks/abc299_d
D. Freefall,https://atcoder.jp/contests/abc279/tasks/abc279_d
B. AB Game,https://atcoder.jp/contests/arc145/tasks/arc145_b
D. New Friends,https://atcoder.jp/contests/abc350/tasks/abc350_d
D. Shift vs. CapsLock,https://atcoder.jp/contests/abc303/tasks/abc303_d
D. Super Takahashi Bros.,https://atcoder.jp/contests/abc340/tasks/abc340_d
D. ±1 Operation 2,https://atcoder.jp/contests/abc255/tasks/abc255_d
E. 2xN Grid,https://atcoder.jp/contests/abc294/tasks/abc294_e
C. Sigma Problem,https://atcoder.jp/contests/abc353/tasks/abc353_c
D. Match or Not,https://atcoder.jp/contests/abc287/tasks/abc287_d
